type,name_of_the_university,address,zip,state,status,url
Private,Sabarmati University (formerly Calorx Teachers' University),"Greenwood, Nr, Vaishnodevi CircleSardar patel Ring Road, OganjPO. Chandlodia, Ahmedabad",382481.0,Gujarat,2(f),https://www.sabarmatiuniversity.edu.in
Private,Sankalchand Patel University,"Sankalchand Patel Vidyadham Ambaji-Gandhinagar State Highway, Visnagar-384315. Dist: Mehsana, Gujarat (INDIA)Visnagar-384315Gujarat",384315.0,Gujarat,2(f),http://www.spu.ac.in
State,Sardar Krushinagar Dantiwada Agricultural University,"Sardarkrushinagar, District: Banaskantha",385506.0,Gujarat,2(f) & 12(B),http://www.sdau.edu.in
State,Sardar Patel University,"Near Saheed Chowk, Nana Bazar, Vallabh Vidyanagar, Anand, GujaratAnand-388 120. (GUJARAT)",388120.0,Gujarat,2(f) & 12(B),http://www.spuvvn.edu
Private,Sardar Vallabhbhai Global University,"Chimanbhai Patel Institute Campus, Opp, Karnavati Club, Ahmedabad",380015.0,Gujarat,2(f),https://svgu.ac.in
Private,Sarvajanik University,"M.T.B. College Campus, Opposite Chowpati Athwalines, Surat",395001.0,Gujarat,2(f),https://sarvajanikuniversity.ac.in
State,Saurashtra University,Kalavad RoadRajkot Gujarat,360.0,Gujarat,2(f) & 12(B),http://www.saurashtrauniversity.edu
State,Shree Somnath Sanskrit University,Ta: VeravalDistrict Junagarh,,Gujarat,2(f) & 12(B),https://sssu.ac.in
Private,Shreyarth University,"C/o Gujarat Samachar Bhavan,Khanpur,Ahmedabad",380001.0,Gujarat,2(f),https://shreyarthuni.ac.in
State,Shri Govind Guru University,"Government Polytechnic Campus, RTO Road, Gadukpur, Godhra, Dist. Panchmahal (Gujarat)-389001 Gadukpur,Godhra,Dist. Panchmahals",389001.0,Gujarat,2(f),https://sggu.ac.in
Private,Sigma University,"Bakrol, Ajwa-Nimeta Road, Waghodiya, Vadodara",390019.0,Gujarat,2(f),https://sigmauniversity.ac.in
Private,Silver Oak University,"Nr. Bhavik Publications, Opp. Bhagwat Vidhyapith, S.G. Highway, Gota,Ahmedabad Gota,Ahmedabad",382481.0,Gujarat,2(f),https://www.silveroakuni.ac.in
Private,SKIPS University,"Plot No. 411, Sanavad, Kalol, Gandhinagar",382721.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/Private_university_other?id=1178
Deemed to be Universities,Sumandeep Vidyapeeth,"Post Piparia, Takula Waghodiya, Dist. Vadodara",391760.0,Gujarat,Section-III & 12(B),http://www.sumandeepvidyapeethdu.edu.in
Private,Surendranagar University,"Shree Pandit Nathulalji Vyas Technical CampusSurendranagar- Ahmedabad HighwayNear Kothariya Village,At Wadhwan",363030.0,Gujarat,2(f),http://suni.ac.in
Private,Swaminarayan University,"Shree Swaminarayan Vishvamangal GurukulAhmedabad-Nehsana HighwayAT & PO- Saij, Tehsil -Kalol, Dist.:,Gandhinagar",382725.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/Private_university_other?id=1175
State,Swarnim Gujarat Sports University,"Commerce College Campus, Opp Youth Hostel, Sector 15, Gandhinagar, Gujarat PTC Building Campus, Gandhinagar",382016.0,Gujarat,2(f),https://sgsu.gujarat.gov.in
Private,Swarnim Startup & Innovation University,"Bhoyan Rathod, GandhinagarOpp. IFFCO,Adalaj-Sertha Road, Gandhinagar",382420.0,Gujarat,2(f),https://www.swarrnim.edu.in
Private,Team Lease Skills University,"Tarsali-Vadodara RoadTarsali Bypass, Vadodara",390.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/Private_university_other?id=738
Private,The Charutar Vidya Mandal(CVM) University,"Besides BVM College, Vallabh Vidyanagar, Distt.- Anand",388120.0,Gujarat,2(f),http://www.cvmu.edu.in
Private,Transstadia University,Opposite Kankaria Gate No.-3KankariaAhmedabad,380022.0,Gujarat,2(f),https://www.ugc.gov.in/universitydetails/Private_university_other?id=1181
Private,UKA Tarsadia University,"Maliba Campus, Gopal Vidyanagar Baroli-Mahuva Road Dist. Surat, Gujarat",394.0,Gujarat,2(f),http://utu.ac.in
Private,UPL University of Sustainable Technology,"Block No. 402, At & PO, Vataria, Taluka Valia, District Bharuch",393135.0,Gujarat,2(f),https://www.upluniversity.ac.in
Private,Vanita Vishram Women's University,"Jawaharlal Nehru Marg, Athwa Gate, Surat",395001.0,Gujarat,2(f),http://vvwusurat.ac.in
State,Veer Narmad South Gujarat University,"Udhna-Magdalla Road, Surat",395007.0,Gujarat,2(f) & 12(B),http://www.vnsgu.ac.in
Private,Vidhyadeep University,"Anita (Kim), Tal Olpad, District Surat",394110.0,Gujarat,2(f),https://www.vidhyadeepuni.ac.in
